question,correct,option1,option2,option3
Buněčné kompartmenty jsou:,oddělené prostory buněk,zásobním centrem buňky,ohraničením buněk,energetickým centrem buňky
Plazmatická membrána:,je polopropustná,je pevná,je nepropustná,je volně propustná
Semiautonomní organelou jsou:,chloroplasty,mitochondrie,peroxizómy,buněčné inkluze
Membrána oddělující vakuoly od cytoplazmy se nazývá:,tonoplast,tylakoid,matrix,cytoplazmatická membrána
Cytoskelet eukaryotické buňky:,vytváří dynamickou strukturu buňky,je tvořen vakuolou a tonoplastem,je neměnnou strukturou,je tvořen vlákny chromozómů
Buněčná stěna je:,volně propustná,polopropustná,nepropustná,částečně propustná pro makromolekuly
Mezi makrobiogenní prvky nepatří:,měď,uhlík,dusík,hořčík
Vyšší rostliny přijímají dusík ve formě:,NO3,CN,NO2,NH
Nespalitelný podíl (popel) tvoří z celkové hmotnosti sušiny kulturních rostlin:,5%,10%,více jak 30%,do1%
Pojmem hydroponie označujeme:,metodu vodních kultur,metodu in vitro,metodu vzdušných kultur,metodu polních kultur
Obsah vody v semenech je:,5- 15%,50%,60— 75%,až 90%
Proces zvaný transpirace:,udržuje tok vody v rostlinném těle,se děje výhradně skrze uzavřené průduchy,je realizován lýkovou částí svazku cévního,se děje výhradně přes hydatody
Turgor vyjadřuje:,tlak vakuoly na buněčnou stěnu,tlak cytoplazmy na vakuolu v plazmolyzované buňce,tlak buněčné stěny na protoplast,tlak cytoplazmy na vakuolu v deplazmolyzované buňce
Příjem vody rostlinou je ovlivněn:,teplotou půdy,hydrostatickým vztlakem,kapilárním vzlínáním,světlem a tmou
Výdej vody rostlinnou buňkou na základě osmózy nastává:,prostředí hypertonickém,v prostředí izotonickém,prostředí hypotonickém,prostředí katabolickém
Jev zvaný difúze je:,samovolný průnik molekul z místa vyšší koncentrace do místa o nižší koncentraci,aktivní transport látek přes polopropustnou membránu,samovolný průnik molekul rozpouštěné látky přes polopropustnou membránu,transport makromolekul přes buněčnou stěnu
Při Hillově reakci (fotolýze vody) vzniká:,kyslík,glukóza,oxid uhličitý,voda
Při cyklické fosforylaci vzniká:,ATP,ATP aNADPH+ H+,glukóza,kyslík
Mezi rostliny s C4 cyklem fotosyntézy patří:,kukuřice,rýže,pšenice,oves
Fotosynteticky aktivní radiace představuje záření o vlnových délkách:,400—700 nm,820 — 1050 nm,750— 950 nm,250— 320 nm
Mezi fotosynteticky aktivní barviva nepatří:,antokyany,chlorofyly,karotenoidy,fykobiliny
"Akceptorem uhlíku z CO, při temnostní fázi fotosyntézy v Galvinově cyklu je:","ribulóza- 1,5 — bisfosfát",fosfoenolpyruvát,glyceraldehyd- 3 — fosfát,oxalacetát
Buněčná organela do níž je situováno dýchání je:,mitochondrie,Golgiho aparát,chloroplast,endoplazmatické retikulum
Dýchání jako metabolický proces probíhá,ve dne a vnoci,pouze ve dne,pouze v noci,v závislosti na intenzitě slunečního záření
Při kvašení se tvoří:,méně energie ve srovnání s aerobním procesem,energeticky chudé látky,více energie ve srovnání s aerobním procesem,kyselina citrónová
Aerobní fází dýchání je:,Krebsův cyklus,glykolýza,Calvinův cyklus,kvašení
Rychlost dýchání je nejvyšší:,v klíčících semenech,vsuchých semenech,v dormantních orgánech,tvořících se semenech
"Vyberte mechanizmy, které nepatří do procesů dýchání:",Hatch-Slackův cyklus,glykolýza,Krebsův cyklus,kyanid rezistentní dýchání
Auxin:,patří mezi růstové látky,způsobuje dormanci,urychluje stárnutí,je produktem fotosyntézy
"Období vegetačního klidu, při němž rostlina zastavuje růst a vývoj nazýváme:",dormance,etiolizace,bobtnání,defoliace
Růst rostlin je charakterizován:,dělením buněk a jejich zvětšováním,zvětšováním buněčného jádra,pouze činností meristémů,diferenciací
Rostlina obnovuje porušenou celistvost:,regenerací,dormancí,jarovizací,korelací
Mezi stimulátory růstu řadíme:,etylén,kyselinu abscisovou,kyselinu mléčnou,auxin
Rostliny krátkodenní vykvetou,za nepřetržitého osvětlení,při světelné periodě delší než 12 hodin,při světelné periodě kratší než 12 hodin,při střídání dne a noci
Mezi fyzikální pohyby patří:,hygroskopické pohyby,tropismy,nastie,taxe
Nastie jsou pohyby:,jejichž směr není závislý na směru podnětu,jejichž směr je závislý na směru podnětu,fyzikální,cirkadiální
Fyzikální pohyby:,vykonávají Živé i odumřelé části rostlin,vykonávají pouze živé části rostlin,vykonávají pouze mrtvé části rostlin,vykonávají pouze rostoucí části rostlin
Zásobním polysacharidem vyšších rostlin je:,škrob,glykogen,chitin,celulóza
Základem biomembrán v eukaryotické buňce jsou:,fosfolipidy,polysacharidy,chitin,elulóza
Aktivní membránový transport:,se uskutečňuje pomocí přenašečů,je osmózou,je usnadněnou difúzí,nevyžaduje energii
