question,correct,option1,option2,option3
Pro kterou čeleď je typický bikolaterální svazek cévní?,lilkovité,podražcovité,růžovité,liliovité
Ribozomy v bunce:,katalyzují syntézu bílkovin,zpevňují stavbu,katalyzují syntézu RNA,produují ribozu vnitrobuněčných membrán
Který typ plodu krytosemenných rostlin se považuje za vývojově nejstarší?,měchýřek,struk,lusk,šešulka
Označte vývojový stupeň stélky řasy kadeřnatky (Ulothrix sp.):,vláknitý,trubicovitý,kokální,bičíkatý
"Rostliny, které v prvním roce Života vytvářejí pouze vegetativní orgány a teprve v následujícím roce kvetou, přinášejí plody a hynou, nazýváme:",dvouleté rostliny,trvalky — pereny,víceleté rostliny,jednoleté rostliny a
Dvoudomé rostliny mají:,jednopohlavné květy na různých jedincích,oboupohlavné květy na témže jedinci,jednopohlavné i oboupohlavné květy na témže jedinci,jednopohlavné květy na témže jedinci
Sklerenchym je:,zpevňovací pletivo s rovnoměrně ztloustlými buněčnými stěnami,pevné vodivé pletivo v lýkové části cévních svazků,zpevňovací pletivo s nerovnoměrně ztloustlými buněčnými stěnami,"pletivo, jehož buňky mají tenké buněčné stěny"
Systémem vodivých pletiv jsou vodné roztoky minerálních látek vedeny z kořene do stonku a listů:,cévami v dřevní části,sítkovicemiv lýtkové části,sítkovicemi v dřevní Části,cévami v lýkové části
dvoubratrými tyčinkami se často setkáváme u zástupců čeledi:,obovité,liliovité,brukvovité,hvozdíkovité
Kutikula patří k systému pletiv:,krycích,vodivých,základních,zásebních
Květy prvosenky jarní (Primula veris) jsou sdružené vnitrobuněčných membrán ve květenství označovaném jako:,okolík,úbor,složený okolík,hrozen
Zařaďte do čeledi hloh jednosemenný (Crataegus monogyna):,růžovité,bobovité,hvězdnicovité,liliovité
Označte vývojový stupeň stélky řasy zrněnky (Pleurococcus sp.):,kokální ,trubicovitý,vláknitý,bičíkatý
V kořenech jsou cévní svazky uspořádány:,radiálně,rozptýleně,kolaterálně,koncentricky
Plody pryskyřníku prudkého (Ranunculus acris) jsou:,nažky,měchýřky,bobule,struky
harakteristické květenství čeledi hvězdnicovité (Asteraceae) je:,úbor,složený okolík,mnohoramenný vrcholík,lata
Důležitá textilní surovina bavlna se získává:,chlupů na semenech bavlníku,zlýkové části cévních svazků bavlníku,z dřevní části cévních svazků bavlníku,z chlupů na listech bavlníku
Pereny jsou:,trvalky,jednoleté rostliny,dvouleté rostliny,ozimy
Krásivky systematicky patří mezi:,řasy zelené,řasy hnědé - chaluhy,ruduchy,rozsivky
Stromové kapraďorosty byly charakteristické pro:,mladší prvohory,starší třetihory,čtvrtohory,mladší třetihory
Zařaďte plicník lékařský (Pulmonaria officinalis) do čeledi:,brutnákovité,stružkovcovité,violkovité,lilkovité
Činností kambia vzniká,druhotné dřevo a druhotné lýko,prvotní krycí pletivo — pokožka,druhotné krycí pletivo — korek,prvotní dřevo a prvotní lýko
Brambor je z hlediska morfologie:,oddenková hlíza,kořenová hlíza,bobule,přeměněný pupen na šlahounu
Po oplození krytosemenné rostliny vznikne z obalů vajíčka:,osemení,oplodí,plodolist,květní lůžko
Souplodí se nevytváří na:,slunečnici,maliníku,jahodníku,ostružiníku
Triploidní živné pletivo (endosperm) vzniká u krytosemenných  rostlin splynutím:,samčí pohlavní buňky s centrálním jádrem zárodečného vaku,samčí pohlavní buňky s vaječnou buňkou,samčí a samičí pohlavní buňky s chalázou,samčí pohlavní buňky se třemi protistojnými buňkami
Po odkvětu dozrává jahodník v:,souplodí nažek,bobuli,zdužnatělou tobolku,plodenství nažek
Sasanka hajní (Anemone nemorosa) patří do čeledi:,pryskyřníkovité,růžovité,mákovité,slézovité
Pojem mykorhiza označuje:,symbiózu hub s kořeny vyšších rostlin,parazitizmus hub na kořenech vyšších rostlin,saprofytismus bakterií na kořenech vyšších rostlin,parazitizmus řas a hub na kmenech a kořenech dřevin
Zbarvení dužniny zralého plodu růže (Rosa sp.) způsobují:,chromoplasty,chloroplasty,amyloplasty,leukoplasty
Neživou součástí rostlinných buněk jsou:,vakuoly,plastidy,mitochondrie,jádra
Borka vzniká činností:,felogenu,kambia,kutikuly,sítkovic
Uponky hrachu setého (Pisum sativum) jsou přeměněné:,stonky,palisty,listy,fylokladia
Meristematická pletiva zajišťují:,růst rostlinného těla,pevnost rostlinného těla,výživu rostlinného těla,ochranu rostlinného těla
Námel u paličkovice nachové je:,"trvdohoubí spletené z podhoubí, přečká zimu a na jaře se na něm vyvíjí paličkovitá lůžka s plodničkami a vřecky","typ podzimních výtrusů, které přečkávají nepříznivé období a na jaře napadají nové klasy","tvrdohoubí spletené z vřecek a jalových vláken, přečká nepříznivé období a na jaře se uvolní vřecka a napadají nové klasy","slepené konidiové stádium, pomocí něhož se paličkovice vegetativně množí v době vegetační sezóny"
květním vzorci značka „A“ znamená:,tyčinky,plodolisty,okvětí,kalich
Bazidiospory jsou výtrusy:,hub stopkovýtrusných,hub vřeckovýtrusných,hub plesnivkotvarých,plavuní
Trny u slivoně trnky (Prunus spinosa) vznikly metamorfózou:,stonků,listů,trichomů,šešulí
"Antokyany, které zbarvují např. lístky květních obalů jsou obsaženy:",ve vakuolách,v leukoplastech,v chromoplastech,v chloroplastech
Gametofytem u papratky samičí je:,prokel,celá rostlina,štět s tobolkou,ostěra
