question,correct,option1,option2,option3
Klimax je označení pro:,nejstabilnější a nejkomplexnější společenstvo,hormonální změny u žen,teplotní gradient,fytogeografické členění země
Zelené rostliny jsou:,autotrofní organismy,heterotrofní organismy,monotrofní organismy,polytrofní organismy
"Hranici, která spojuje dva rozdílné ekosystémy, nazýváme:",ekoton,ekotop,biom,ekotyp
Každý organismus obsazuje v ekosystému určitý prostor a současně je do něho zapojen. Toto přizpůsobení se určitému prostředí je označováno jako:,ekologická nika,ekologické stanoviště,ekoton,ekotop
Dlouhodobý zákonitý proces vývoje biocenózy se nazývá:,sukcese,recese,disturbance,resilience
"Soubor všech abiotických a biotických podmínek vytvářejících prostředí organismů (populace, společenstva) se nazývá:",ekosystém,biocenóza,biosféra,biotop
Organismy mající úzkou ekologickou valenci k některé podmínce prostředí označujeme jako:,bioindikátory,biocenózy,biosféry,iotopy
"Autochtonní Živočišný druh znamená, že živočich je:",původní,zavlečený,nepůvodní - ale přizpůsobený,nepůvodní - nepřizpůsobený
Český výraz pro pojem abundance je:,hustota,množivost,rozptyl,porodnost
"K hodnocení kvality Životního prostředí lze použít organismy (bioindikátory), které jsou:",stenovalentní,euryvalentní,polyvalentní,avalentní
našich středoevropských podmínkách má v nadmořské výšce 500 m až 700 m z původních dřevin dominantní postavení:,buk lesní,dub letní,smrk ztepilý,borovice lesní
Nepůvodní dřevinou je v květeně ČR:,borovice vejmutovka,dub letní,dub zimní,borovice kleč
"Na svazích působením vody dochází ke smyvům půdy, které označujeme:",eroze,splaz,eolie,vodní stok
Fytoncidy jsou látky:,které ničí bakterie a houby a produkujíj e rostliny,"které ničí rostliny, a které jsou produkované houbami",které ničí rostliny a produkujíj e bakterie,které ničí bakterie a produkujíj e rostliny
Organismy žijící na tělech odumřelých rostlin a živočichů nazýváme:,saprofytické,autotrofní,parazitické,poloparazitické
Rostliny vázané na vápencové skály či staré zdi nazýváme:,kalcifyty,nitrofyty,neutrofyty,acidofyty
"Rostliny, které mají některé části ponořené ve vodě nebo žijí na zamokřených půdách označujeme jako",hygrofyta,hydrofyta,xerofyta,mezofyta
Mezi abiotické složky prostředí nepatří,mikroedafon,sluneční záření,teplota prostředí,atmosférický tlak
Produkce v umělých ekosystémech je ve srovnání s ekosystémy přirozenými:,vyšší,nižší,je shodná,je neměřitelná
Nejvyšší obsah energie slunečního záření má:,UV záření,infračervené záření,viditelné světlo,světelné záření
